Frame Number,Detected Object ID,sat_x,sat_y,Zone,type
3,6,613.324989,538.3405712,S4,0
4,4,613.324989,538.3405712,S4,0
5,6,613.4098538,538.4522408,S4,0
6,4,613.4098538,538.4522408,S4,0
7,6,613.4098538,538.4522408,S4,0
8,4,613.4098538,538.4522408,S4,0
9,4,613.4947228,538.563916,S4,0
10,6,613.4947228,538.563916,S4,0
11,6,613.5795961,538.6755968,S4,0
12,4,613.5795961,538.6755968,S4,0
13,6,613.4947228,538.563916,S4,0
14,6,613.4947228,538.563916,S4,0
15,6,613.4947228,538.563916,S4,0
16,6,613.4098538,538.4522408,S4,0
17,6,613.4098538,538.4522408,S4,0
18,6,613.324989,538.3405712,S4,0
19,6,613.324989,538.3405712,S4,0
20,6,611.8345157,541.166833,S4,0
21,6,613.4947228,538.563916,S4,0
22,6,613.4098538,538.4522408,S4,0
23,6,613.4947228,538.563916,S4,0
24,6,613.4947228,538.563916,S4,0
25,6,613.5795961,538.6755968,S4,0
26,6,613.4947228,538.563916,S4,0
27,6,612.0055134,541.3920834,S4,0
28,6,612.0055134,541.3920834,S4,0
29,6,613.4947228,538.563916,S4,0
30,6,613.4947228,538.563916,S4,0
31,6,613.4947228,538.563916,S4,0
32,6,613.4947228,538.563916,S4,0
33,6,613.4947228,538.563916,S4,0
34,6,613.5795961,538.6755968,S4,0
35,6,613.5795961,538.6755968,S4,0
36,6,613.4098538,538.4522408,S4,0
37,6,613.4098538,538.4522408,S4,0
38,6,611.9200124,541.2794553,S4,0
39,6,613.4098538,538.4522408,S4,0
40,6,613.4098538,538.4522408,S4,0
41,6,613.4098538,538.4522408,S4,0
42,6,613.4098538,538.4522408,S4,0
43,6,613.4098538,538.4522408,S4,0
44,6,613.4098538,538.4522408,S4,0
45,6,613.324989,538.3405712,S4,0
46,6,613.4098538,538.4522408,S4,0
47,6,613.4947228,538.563916,S4,0
48,6,613.4947228,538.563916,S4,0
49,6,613.4947228,538.563916,S4,0
50,6,612.0055134,541.3920834,S4,0
51,6,613.4947228,538.563916,S4,0
52,6,613.4947228,538.563916,S4,0
53,6,613.4098538,538.4522408,S4,0
54,6,613.4098538,538.4522408,S4,0
55,6,613.5795961,538.6755968,S4,0
56,6,613.5795961,538.6755968,S4,0
57,6,612.0910187,541.5047171,S4,0
58,6,612.0910187,541.5047171,S4,0
59,6,613.5795961,538.6755968,S4,0
60,6,613.5795961,538.6755968,S4,0
61,6,612.0910187,541.5047171,S4,0
62,6,613.5795961,538.6755968,S4,0
63,6,613.5795961,538.6755968,S4,0
64,6,613.6644736,538.7872832,S4,0
65,6,613.5795961,538.6755968,S4,0
66,6,613.4098538,538.4522408,S4,0
67,6,613.4947228,538.563916,S4,0
68,6,613.4098538,538.4522408,S4,0
69,6,613.4098538,538.4522408,S4,0
70,6,613.4098538,538.4522408,S4,0
71,6,611.9200124,541.2794553,S4,0
72,6,611.9200124,541.2794553,S4,0
73,6,612.0055134,541.3920834,S4,0
74,6,612.0055134,541.3920834,S4,0
75,6,611.8345157,541.166833,S4,0
76,6,611.8345157,541.166833,S4,0
77,6,611.8345157,541.166833,S4,0
78,6,612.0055134,541.3920834,S4,0
79,6,612.0055134,541.3920834,S4,0
80,6,612.0055134,541.3920834,S4,0
81,6,611.9200124,541.2794553,S4,0
82,6,611.9200124,541.2794553,S4,0
83,6,611.8345157,541.166833,S4,0
84,6,612.0055134,541.3920834,S4,0
85,6,611.9200124,541.2794553,S4,0
86,6,611.9200124,541.2794553,S4,0
87,6,611.9200124,541.2794553,S4,0
88,6,611.9200124,541.2794553,S4,0
89,6,611.9200124,541.2794553,S4,0
90,6,612.0055134,541.3920834,S4,0
91,6,613.4947228,538.563916,S4,0
92,6,613.4098538,538.4522408,S4,0
93,6,613.4947228,538.563916,S4,0
94,6,613.4947228,538.563916,S4,0
95,6,613.4947228,538.563916,S4,0
96,6,613.4947228,538.563916,S4,0
97,6,611.9200124,541.2794553,S4,0
98,6,612.0055134,541.3920834,S4,0
99,6,612.0910187,541.5047171,S4,0
100,6,612.2620424,541.7300017,S4,0
101,6,612.4330834,541.9553091,S4,0
102,6,612.5186104,542.0679714,S4,0
103,6,612.6896774,542.2933131,S4,0
104,6,612.6896774,542.2933131,S4,0
105,6,612.6896774,542.2933131,S4,0
106,6,612.5186104,542.0679714,S4,0
107,6,612.6041417,542.1806394,S4,0
108,6,612.6041417,542.1806394,S4,0
109,6,612.6041417,542.1806394,S4,0
110,6,612.8607617,542.5186776,S4,0
111,6,614.3436477,539.6809767,S4,0
112,6,614.3436477,539.6809767,S4,0
113,6,614.4285636,539.7927136,S4,0
114,6,614.5984083,540.0162044,S4,0
115,6,614.6833371,540.1279582,S4,0
116,6,614.6833371,540.1279582,S4,0
117,6,614.7682701,540.2397176,S4,0
118,6,616.2249926,537.4414269,S4,0
119,6,616.2249926,537.4414269,S4,0
120,6,617.6592478,534.6862946,S4,0
121,6,617.7429466,534.7961983,S4,0
122,6,617.7429466,534.7961983,S4,0
123,6,619.1546446,532.0823259,S4,0
124,6,619.1546446,532.0823259,S4,0
125,6,619.1546446,532.0823259,S4,0
126,6,619.1546446,532.0823259,S4,0
127,6,617.5755531,534.5763962,S4,0
128,6,617.5755531,534.5763962,S4,0
129,6,617.5755531,534.5763962,S4,0
130,6,618.8222972,531.6463736,S4,0
131,6,618.7392206,531.5373989,S4,0
132,6,618.656148,531.4284296,S4,0
133,6,618.656148,531.4284296,S4,0
134,6,618.656148,531.4284296,S4,0
