Frame Number,C1,C2,C3,C4
1103,1,0,0,0
1105,0,0,1,0
1106,0,0,1,0
1107,0,0,1,0
1108,0,0,1,0
1109,0,0,1,0
1110,0,0,1,0
1111,0,0,1,0
1112,0,0,1,0
1113,0,0,1,0
1114,0,0,1,0
1115,0,0,1,0
1116,0,0,1,0
1117,0,0,1,0
1118,0,0,1,0
1119,0,0,1,0
1120,0,0,1,0
1121,0,0,1,0
1122,0,0,1,0
1123,0,0,1,0
1124,0,0,1,0
1125,0,0,1,0
1126,0,0,1,0
1127,0,0,1,0
1128,0,0,1,0
1129,0,0,1,0
1130,0,0,1,0
1131,0,0,1,0
1132,0,0,1,0
1133,0,0,1,0
1134,0,0,1,0
1135,0,0,1,0
1136,0,0,1,0
1137,0,0,1,0
1138,0,0,1,0
1139,0,0,1,0
1140,1,0,1,0
1141,0,0,1,0
1142,0,0,1,0
1143,0,0,1,0
1144,0,0,1,0
1145,0,0,1,0
1146,0,0,1,0
1147,0,0,1,0
1148,1,0,1,0
1149,0,0,1,0
1150,0,0,1,0
1151,0,0,1,0
1152,0,0,1,0
1153,0,0,1,0
1154,0,0,1,0
1155,0,0,1,0
1156,0,0,1,0
1157,0,0,1,0
1158,0,0,1,0
1159,0,0,1,0
1160,0,0,1,0
1161,0,0,1,0
1162,0,0,1,0
1163,0,0,1,0
1164,0,0,1,0
1165,0,0,1,0
1166,0,0,1,0
1167,0,0,1,0
1168,0,0,1,0
1169,0,0,1,0
1170,0,0,1,0
1171,0,0,1,0
1172,0,0,1,0
1173,0,0,1,0
1174,0,0,1,0
1175,0,0,1,0
1176,0,0,1,0
1177,0,0,1,0
1178,0,0,1,0
1179,0,0,1,0
1180,0,0,1,0
1181,1,0,1,0
1182,1,0,1,0
1183,1,0,1,0
1184,1,0,1,0
1185,1,0,1,0
1186,0,0,1,0
1187,1,0,1,0
1188,1,0,1,0
1189,1,0,1,0
1190,1,0,1,0
1191,1,0,1,0
1192,1,0,1,0
1193,1,0,1,0
1194,1,0,1,0
1195,1,0,1,0
1196,1,0,1,0
1197,1,0,1,0
1198,1,0,1,0
1199,1,0,1,0
1200,1,0,1,0
1201,1,0,1,0
1202,1,0,1,0
1203,1,0,1,0
1204,1,0,1,0
1205,1,0,1,0
1206,1,0,1,0
1207,1,0,1,0
1208,1,0,1,0
1209,1,0,1,0
1210,1,0,1,0
1211,1,0,1,0
1212,1,0,1,0
1213,1,0,1,0
1214,1,0,1,0
1215,1,0,1,0
1216,1,0,1,0
1217,1,0,1,0
1218,1,0,1,0
1219,1,0,1,0
1220,1,0,1,0
1221,1,0,1,0
1222,1,0,1,0
1223,1,0,1,0
1224,1,0,1,0
1225,1,0,1,0
1226,1,0,1,0
1227,1,0,1,0
1228,1,0,1,0
1229,1,0,1,0
1230,1,0,1,0
1231,1,0,1,0
1232,1,0,1,0
1233,1,0,1,0
1234,1,0,1,0
1235,1,0,1,0
1236,1,0,1,0
1237,1,0,1,0
1238,1,0,1,0
1239,1,0,1,0
1240,1,0,1,0
1241,1,0,1,0
1242,1,0,1,0
1243,1,0,1,0
1244,1,0,1,0
1245,1,0,1,0
1246,1,0,1,0
1247,1,0,1,0
1248,1,0,1,0
1249,1,0,1,0
1250,1,0,1,0
1251,1,0,1,0
1252,1,0,1,0
1253,1,0,1,0
1254,1,0,1,0
1255,1,0,1,0
1256,1,0,1,0
1257,1,0,1,0
1258,1,0,1,0
1259,1,0,1,0
1260,1,0,1,0
1261,1,0,1,0
1262,1,0,1,0
1263,1,0,1,0
1264,1,0,1,0
1265,1,0,1,0
1266,1,0,1,0
1267,1,0,1,0
1268,1,0,1,0
